Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result,Referee
2024-11-03,Wolves,Tottenham,2,3,A,M Dean
2024-11-04,Chelsea,Crystal Palace,3,1,H,M Oliver
2024-11-04,Man City,Southampton,6,1,H,L Mason
2024-11-05,Huddersfield,Fulham,1,0,H,A Taylor
2024-11-10,Cardiff,Brighton,2,1,H,M Atkinson
2024-11-10,Crystal Palace,Tottenham,0,1,A,J Moss
2024-11-10,Huddersfield,West Ham,1,1,D,C Kavanagh
2024-11-10,Leicester,Burnley,0,0,D,M Dean
2024-11-10,Newcastle,Bournemouth,2,1,H,L Probert
2024-11-10,Southampton,Watford,1,1,D,S Hooper
2024-11-11,Arsenal,Wolves,1,1,D,S Attwell
2024-11-11,Chelsea,Everton,0,0,D,K Friend
2024-11-11,Liverpool,Fulham,2,0,H,P Tierney
2024-11-11,Man City,Man United,3,1,H,A Taylor
2024-11-24,Brighton,Leicester,1,1,D,C Kavanagh
2024-11-24,Everton,Cardiff,1,0,H,P Tierney
2024-11-24,Fulham,Southampton,3,2,H,M Oliver
2024-11-24,Man United,Crystal Palace,0,0,D,L Mason
2024-11-24,Tottenham,Chelsea,3,1,H,M Atkinson
2024-11-24,Watford,Liverpool,0,3,A,J Moss
2024-11-24,West Ham,Man City,0,4,A,A Marriner
2024-11-25,Bournemouth,Arsenal,1,2,A,C Pawson
2024-11-25,Wolves,Huddersfield,0,2,A,K Friend
2024-11-26,Burnley,Newcastle,1,2,A,A Taylor
2024-11-30,Cardiff,Wolves,2,1,H,A Marriner
2024-12-01,Crystal Palace,Burnley,2,0,H,L Probert
2024-12-01,Huddersfield,Brighton,1,2,A,M Oliver
2024-12-01,Leicester,Watford,2,0,H,G Scott
2024-12-01,Man City,Bournemouth,3,1,H,S Attwell
2024-12-01,Newcastle,West Ham,0,3,A,P Tierney
2024-12-01,Southampton,Man United,2,2,D,K Friend
2024-12-02,Arsenal,Tottenham,4,2,H,M Dean
2024-12-02,Chelsea,Fulham,2,0,H,C Pawson
2024-12-02,Liverpool,Everton,1,0,H,C Kavanagh
2024-12-04,Bournemouth,Huddersfield,2,1,H,R East
2024-12-04,Brighton,Crystal Palace,3,1,H,K Friend
2024-12-04,Watford,Man City,1,2,A,P Tierney
2024-12-04,West Ham,Cardiff,3,1,H,G Scott
2024-12-05,Burnley,Liverpool,1,3,A,S Attwell
2024-12-05,Everton,Newcastle,1,1,D,L Mason
2024-12-05,Fulham,Leicester,1,1,D,D Coote
2024-12-05,Man United,Arsenal,2,2,D,A Marriner
2024-12-05,Tottenham,Southampton,3,1,H,A Taylor
2024-12-05,Wolves,Chelsea,2,1,H,J Moss
2024-12-08,Arsenal,Huddersfield,1,0,H,P Tierney
2024-12-08,Bournemouth,Liverpool,0,4,A,L Mason
2024-12-08,Burnley,Brighton,1,0,H,M Atkinson
2024-12-08,Cardiff,Southampton,1,0,H,J Moss
2024-12-08,Chelsea,Man City,2,0,H,M Oliver
2024-12-08,Leicester,Tottenham,0,2,A,C Pawson
2024-12-08,Man United,Fulham,4,1,H,L Probert
2024-12-08,West Ham,Crystal Palace,3,2,H,A Taylor
2024-12-09,Newcastle,Wolves,1,2,A,M Dean
2024-12-10,Everton,Watford,2,2,D,K Friend
2024-12-15,Crystal Palace,Leicester,1,0,H,M Oliver
2024-12-15,Fulham,West Ham,0,2,A,M Dean
2024-12-15,Huddersfield,Newcastle,0,1,A,A Taylor
2024-12-15,Man City,Everton,3,1,H,C Pawson
2024-12-15,Tottenham,Burnley,1,0,H,G Scott
2024-12-15,Watford,Cardiff,3,2,H,A Madley
2024-12-15,Wolves,Bournemouth,2,0,H,S Hooper
2024-12-16,Brighton,Chelsea,1,2,A,S Attwell
2024-12-16,Liverpool,Man United,3,1,H,M Atkinson
2024-12-16,Southampton,Arsenal,3,2,H,C Kavanagh
2024-12-21,Wolves,Liverpool,0,2,A,C Pawson
2024-12-22,Arsenal,Burnley,3,1,H,K Friend
2024-12-22,Bournemouth,Brighton,2,0,H,M Dean
2024-12-22,Cardiff,Man United,1,5,A,M Oliver
2024-12-22,Chelsea,Leicester,0,1,A,L Probert
2024-12-22,Huddersfield,Southampton,1,3,A,S Attwell
2024-12-22,Man City,Crystal Palace,2,3,A,A Marriner
2024-12-22,Newcastle,Fulham,0,0,D,M Atkinson
2024-12-22,West Ham,Watford,0,2,A,L Mason
2024-12-23,Everton,Tottenham,2,6,A,P Tierney
2024-12-26,Brighton,Arsenal,1,1,D,A Taylor
2024-12-26,Burnley,Everton,1,5,A,M Oliver
2024-12-26,Crystal Palace,Cardiff,0,0,D,L Probert
2024-12-26,Fulham,Wolves,1,1,D,A Marriner
2024-12-26,Leicester,Man City,2,1,H,M Dean
2024-12-26,Liverpool,Newcastle,4,0,H,G Scott
2024-12-26,Man United,Huddersfield,3,1,H,J Moss
2024-12-26,Tottenham,Bournemouth,5,0,H,C Kavanagh
2024-12-26,Watford,Chelsea,1,2,A,M Atkinson
2024-12-27,Southampton,West Ham,1,2,A,C Pawson
2024-12-29,Brighton,Everton,1,0,H,A Madley
2024-12-29,Fulham,Huddersfield,1,0,H,K Friend
2024-12-29,Leicester,Cardiff,0,1,A,S Hooper
2024-12-29,Liverpool,Arsenal,5,1,H,M Oliver
2024-12-29,Tottenham,Wolves,1,3,A,S Attwell
2024-12-29,Watford,Newcastle,1,1,D,R East
2024-12-30,Burnley,West Ham,2,0,H,D Coote
2024-12-30,Crystal Palace,Chelsea,0,1,A,C Pawson
2024-12-30,Man United,Bournemouth,4,1,H,L Mason
2024-12-30,Southampton,Man City,1,3,A,P Tierney
2024-01-01,Arsenal,Fulham,4,1,H,G Scott
2024-01-01,Cardiff,Tottenham,0,3,A,K Friend
2024-01-01,Everton,Leicester,0,1,A,M Atkinson
2024-01-02,Bournemouth,Watford,3,3,D,D Coote
2024-01-02,Chelsea,Southampton,0,0,D,J Moss
2024-01-02,Huddersfield,Burnley,1,2,A,M Dean
2024-01-02,Newcastle,Man United,0,2,A,A Marriner
2024-01-02,West Ham,Brighton,2,2,D,C Kavanagh
2024-01-02,Wolves,Crystal Palace,0,2,A,R East
2024-01-03,Man City,Liverpool,2,1,H,A Taylor
2024-01-12,Brighton,Liverpool,0,1,A,K Friend
2024-01-12,Burnley,Fulham,2,1,H,M Atkinson
2024-01-12,Cardiff,Huddersfield,0,0,D,L Mason
2024-01-12,Chelsea,Newcastle,2,1,H,C Kavanagh
2024-01-12,Crystal Palace,Watford,1,2,A,P Tierney
2024-01-12,Leicester,Southampton,1,2,A,M Oliver
2024-01-12,West Ham,Arsenal,1,0,H,J Moss
2024-01-13,Everton,Bournemouth,2,0,H,A Taylor
2024-01-13,Tottenham,Man United,0,1,A,M Dean
2024-01-14,Man City,Wolves,3,0,H,C Pawson
2024-01-19,Arsenal,Chelsea,2,0,H,A Taylor
2024-01-19,Bournemouth,West Ham,2,0,H,S Hooper
2024-01-19,Liverpool,Crystal Palace,4,3,H,J Moss
2024-01-19,Man United,Brighton,2,1,H,P Tierney
2024-01-19,Newcastle,Cardiff,3,0,H,S Attwell
2024-01-19,Southampton,Everton,2,1,H,G Scott
2024-01-19,Watford,Burnley,0,0,D,M Oliver
2024-01-19,Wolves,Leicester,4,3,H,C Kavanagh
2024-01-20,Fulham,Tottenham,1,2,A,C Pawson
2024-01-20,Huddersfield,Man City,0,3,A,A Marriner
2024-01-29,Arsenal,Cardiff,2,1,H,M Dean
2024-01-29,Fulham,Brighton,4,2,H,L Probert
2024-01-29,Huddersfield,Everton,0,1,A,S Attwell
2024-01-29,Man United,Burnley,2,2,D,J Moss
2024-01-29,Newcastle,Man City,2,1,H,P Tierney
2024-01-29,Wolves,West Ham,3,0,H,D Coote
2024-01-30,Bournemouth,Chelsea,4,0,H,R East
2024-01-30,Liverpool,Leicester,1,1,D,M Atkinson
2024-01-30,Southampton,Crystal Palace,1,1,D,A Marriner
